HOUR,NODE,HUB,BASIS,WN_WIND,ERCOT_SOLAR,MID_TEMP,MID_WIND,SA_WIND,ERCOT_LOAD,WEST_LOAD,DAY,N_OUTAGE,HOD,MONTH,DOW
2023-06-27 00:00:00,22.275,22.2725,0.0025,13052.35,0.17,91.0,15.0,9.2,60907.51395,13103.1255475,2023-06-27,156359.0,0.0,6.0,1.0
2023-06-27 01:00:00,20.385,20.3075,0.0775,13628.85,0.16,90.0,15.0,11.5,57634.17339,12973.5572175,2023-06-27,156359.0,1.0,6.0,1.0
2023-06-27 02:00:00,18.93,18.9325,-0.0025,13600.72,0.18,88.0,13.8,11.5,55290.25573,13382.4516,2023-06-27,156359.0,2.0,6.0,1.0
2023-06-27 03:00:00,17.7225,17.74,-0.0175,13978.01,0.28,87.1,13.8,13.8,53855.03889,13062.6917225,2023-06-27,156359.0,3.0,6.0,1.0
2023-06-27 04:00:00,18.3025,18.265,0.0375,13646.74,0.19,86.0,12.7,11.5,52958.953275,13108.5700025,2023-06-27,156359.0,4.0,6.0,1.0
2023-06-27 05:00:00,17.8375,17.81,0.0275,13775.49,0.19,84.0,12.7,12.7,53366.2784125,13399.152225,2023-06-27,156359.0,5.0,6.0,1.0
2023-06-27 06:00:00,17.5775,17.575,0.0025,14283.02,0.17,82.9,11.5,11.5,53937.40091,14403.9301275,2023-06-27,156359.0,6.0,6.0,1.0
2023-06-27 07:00:00,17.82,17.82,0.0,14659.79,68.1,81.0,10.4,5.8,54641.1274825,12820.37044,2023-06-27,156359.0,7.0,6.0,1.0
2023-06-27 08:00:00,18.155,18.1925,-0.0375,11321.2,3088.06,82.0,11.5,4.6,57084.2716025,11955.3416075,2023-06-27,156359.0,8.0,6.0,1.0
2023-06-27 09:00:00,13.6525,17.0825,-3.43,7153.16,8915.02,87.1,11.5,13.8,60568.9366275,11662.95137,2023-06-27,156359.0,9.0,6.0,1.0
2023-06-27 10:00:00,11.93,19.4125,-7.4825,5325.02,11445.58,93.0,12.7,13.8,64888.0091725,12001.8390425,2023-06-27,156359.0,10.0,6.0,1.0
2023-06-27 11:00:00,28.2975,28.5875,-0.29,4645.84,12605.83,98.1,17.3,15.0,69348.7963875,12850.8548175,2023-06-27,156359.0,11.0,6.0,1.0
2023-06-27 12:00:00,29.0425,30.67,-1.6275,5279.46,12910.58,100.9,19.6,12.7,73160.9408125,15239.9561225,2023-06-27,156359.0,12.0,6.0,1.0
2023-06-27 13:00:00,22.2875,24.3725,-2.085,7608.42,12551.91,102.9,19.6,12.7,77063.81244,17072.862905,2023-06-27,156359.0,13.0,6.0,1.0
2023-06-27 14:00:00,24.025,23.0375,0.9875,9516.84,12251.05,105.1,28.8,15.0,79791.703435,18119.3657925,2023-06-27,156359.0,14.0,6.0,1.0
2023-06-27 15:00:00,15.3325,12.75,2.5825,10776.69,12111.32,107.1,26.5,15.0,80193.7991075,18219.06146,2023-06-27,156359.0,15.0,6.0,1.0
2023-06-27 16:00:00,7.87,7.1225,0.7475,11800.73,11364.97,107.1,23.0,13.8,80773.8266225,18357.7113025,2023-06-27,156359.0,16.0,6.0,1.0
2023-06-27 17:00:00,4.6775,3.295,1.3825,12497.86,10835.01,108.0,20.7,16.1,80824.73787,17989.10511,2023-06-27,156359.0,17.0,6.0,1.0
2023-06-27 18:00:00,3.625,5.2225,-1.5975,13276.19,9838.6,106.0,12.7,10.289924,80530.3655975,18326.43881,2023-06-27,156359.0,18.0,6.0,1.0
2023-06-27 19:00:00,3.66,5.965,-2.305,14098.27,8544.02,105.1,23.0,16.1,79656.9175375,18622.0164825,2023-06-27,156359.0,19.0,6.0,1.0
2023-06-27 20:00:00,10.13,12.165,-2.035,14984.62,5198.85,102.0,26.5,11.408394,77133.34623,17273.0275275,2023-06-27,156359.0,20.0,6.0,1.0
2023-06-27 21:00:00,50.31,45.415,4.895,15581.87,823.78,99.0,21.9,11.408394,74388.023875,16835.475055,2023-06-27,156359.0,21.0,6.0,1.0
2023-06-27 22:00:00,38.3175,31.91,6.4075,16830.42,0.11,95.0,19.6,9.171454,70102.1654975,17513.9387275,2023-06-27,156359.0,22.0,6.0,1.0
2023-06-27 23:00:00,33.0025,27.8875,5.115,18286.37,0.14,91.0,15.0,11.408394,65633.158585,17429.74903,2023-06-27,156359.0,23.0,6.0,1.0
2023-06-28 00:00:00,28.7825,24.24,4.5425,18904.81,0.17,90.0,17.3,6.934514,61290.403775,16912.33548,2023-06-28,156410.0,0.0,6.0,2.0
2023-06-28 01:00:00,20.3975,28.275,-7.8775,18562.88,0.73,88.0,16.1,9.171454,58051.86361,16171.2702225,2023-06-28,156410.0,1.0,6.0,2.0
2023-06-28 02:00:00,-5.935,29.8875,-35.8225,18256.31,0.26,87.1,15.0,6.934514,55624.53409,16400.8477825,2023-06-28,156410.0,2.0,6.0,2.0
2023-06-28 03:00:00,-3.4825,26.7225,-30.205,18517.62,0.21,86.0,13.8,6.934514,53714.4704975,16683.31564,2023-06-28,156410.0,3.0,6.0,2.0
2023-06-28 04:00:00,-8.0525,27.81,-35.8625,18878.86,0.2,84.9,13.8,8.052984,52677.8205175,16580.3010975,2023-06-28,156410.0,4.0,6.0,2.0
2023-06-28 05:00:00,-14.6975,26.8975,-41.595,18892.63,0.2,82.0,15.0,4.697574,52766.8419675,16455.73212,2023-06-28,156410.0,5.0,6.0,2.0
2023-06-28 06:00:00,-14.2775,27.0075,-41.285,18523.1,0.2,82.0,19.6,8.052984,53355.6977075,16077.863245,2023-06-28,156410.0,6.0,6.0,2.0
2023-06-28 07:00:00,-13.8225,26.56,-40.3825,18134.5,73.47,81.0,16.1,6.9,54421.00712,16751.169075,2023-06-28,156410.0,7.0,6.0,2.0
2023-06-28 08:00:00,9.665,19.2,-9.535,17098.98,3397.24,81.0,17.3,11.408394,56982.05153,18587.215965,2023-06-28,156410.0,8.0,6.0,2.0
2023-06-28 09:00:00,0.17,0.2825,-0.1125,15724.34,8088.88,84.9,21.9,16.1,60349.95689,18665.3943275,2023-06-28,156410.0,9.0,6.0,2.0
2023-06-28 10:00:00,-0.2675,-0.4925,0.225,15812.45,9290.15,90.0,17.3,19.6,64340.7463125,18877.868815,2023-06-28,156410.0,10.0,6.0,2.0
2023-06-28 11:00:00,-0.4075,-0.685,0.2775,16410.54,9421.08,93.0,21.9,15.0,68463.3970075,19170.02199,2023-06-28,156410.0,11.0,6.0,2.0
2023-06-28 12:00:00,0.15,-0.0675,0.2175,16191.93,9943.45,96.1,20.7,16.1,72477.6390125,19576.1219075,2023-06-28,156410.0,12.0,6.0,2.0
2023-06-28 13:00:00,1.825,1.6575,0.1675,15694.15,10715.59,98.1,21.9,13.8,75855.0735625,19729.6052275,2023-06-28,156410.0,13.0,6.0,2.0
2023-06-28 14:00:00,5.0575,5.03,0.0275,15115.97,11436.48,100.9,17.3,13.8,78473.92549,19693.3564025,2023-06-28,156410.0,14.0,6.0,2.0
2023-06-28 15:00:00,4.07,7.2775,-3.2075,14849.93,11388.03,102.9,24.2,15.0,79552.6202775,19268.46476,2023-06-28,156410.0,15.0,6.0,2.0
2023-06-28 16:00:00,3.0875,6.695,-3.6075,14822.05,10653.41,104.0,21.9,16.1,80027.4483875,18793.986665,2023-06-28,156410.0,16.0,6.0,2.0
2023-06-28 17:00:00,4.0225,6.6225,-2.6,14864.49,10122.24,104.0,26.5,13.8,79992.5352725,18769.83401,2023-06-28,156410.0,17.0,6.0,2.0
2023-06-28 18:00:00,3.5975,6.355,-2.7575,14696.34,9669.0,102.0,19.6,11.5,79397.48406,18764.2304825,2023-06-28,156410.0,18.0,6.0,2.0
2023-06-28 19:00:00,2.825,5.925,-3.1,15191.87,8538.05,100.9,24.2,13.8,78224.112495,18750.771525,2023-06-28,156410.0,19.0,6.0,2.0
2023-06-28 20:00:00,11.195,13.96,-2.765,15822.45,5214.32,99.0,26.5,18.4,75263.457095,17321.7909075,2023-06-28,156410.0,20.0,6.0,2.0
2023-06-28 21:00:00,39.2,35.405,3.795,16677.58,729.63,95.0,23.0,15.0,72857.72127,17413.982835,2023-06-28,156410.0,21.0,6.0,2.0
2023-06-28 22:00:00,23.8375,34.0325,-10.195,18100.9,0.09,91.0,17.3,12.7,68914.760065,18022.1530975,2023-06-28,156410.0,22.0,6.0,2.0
2023-06-28 23:00:00,7.2775,33.0825,-25.805,19212.45,0.14,89.1,17.3,10.4,64446.0322225,17728.3251975,2023-06-28,156410.0,23.0,6.0,2.0
2023-06-29 00:00:00,2.955,29.165,-26.21,19279.19,0.17,87.1,19.6,10.4,60350.8678025,17637.865625,2023-06-29,156396.0,0.0,6.0,3.0
2023-06-29 01:00:00,8.7425,26.9975,-18.255,19338.61,0.22,84.9,17.3,10.4,57099.7319925,17802.445785,2023-06-29,156396.0,1.0,6.0,3.0
2023-06-29 02:00:00,23.7425,21.5675,2.175,19427.87,0.23,84.0,23.0,11.5,54678.9887075,17245.8818275,2023-06-29,156396.0,2.0,6.0,3.0
2023-06-29 03:00:00,26.775,21.4925,5.2825,18712.96,0.23,82.9,21.9,13.8,53057.025675,16686.68953,2023-06-29,156396.0,3.0,6.0,3.0
2023-06-29 04:00:00,25.4725,20.62,4.8525,18141.93,0.23,81.0,13.8,10.4,52234.0834075,16434.314085,2023-06-29,156396.0,4.0,6.0,3.0
2023-06-29 05:00:00,24.6825,20.4025,4.28,17835.09,0.25,79.0,11.5,13.8,52706.3190075,15970.117595,2023-06-29,156396.0,5.0,6.0,3.0
2023-06-29 06:00:00,26.3625,21.9925,4.37,17234.57,0.42,79.0,13.8,8.1,53303.037265,14780.8507975,2023-06-29,156396.0,6.0,6.0,3.0
2023-06-29 07:00:00,27.7925,23.315,4.4775,16331.17,72.35,77.0,12.7,10.4,54218.61314,14751.71157,2023-06-29,156396.0,7.0,6.0,3.0
2023-06-29 08:00:00,25.6425,21.805,3.8375,15233.63,3191.22,78.1,13.8,8.1,57238.81157,17286.681775,2023-06-29,156396.0,8.0,6.0,3.0
2023-06-29 09:00:00,9.3,9.32,-0.02,14330.55,9249.7,81.0,18.4,9.2,60905.61907,18436.53353,2023-06-29,156396.0,9.0,6.0,3.0
2023-06-29 10:00:00,-0.1125,-0.45,0.3375,15904.63,9518.3,84.0,24.2,10.4,64747.4349425,18540.3197125,2023-06-29,156396.0,10.0,6.0,3.0
2023-06-29 11:00:00,-0.0825,-0.42,0.3375,15271.62,10379.93,88.0,23.0,15.0,68885.9868525,18882.3327525,2023-06-29,156396.0,11.0,6.0,3.0
2023-06-29 12:00:00,0.805,0.7475,0.0575,14325.19,11653.1,91.9,25.3,16.1,72590.2586625,19383.843745,2023-06-29,156396.0,12.0,6.0,3.0
2023-06-29 13:00:00,5.4125,5.1225,0.29,13925.43,12463.17,95.0,24.2,17.3,76028.1797625,19752.2063725,2023-06-29,156396.0,13.0,6.0,3.0
2023-06-29 14:00:00,5.5325,7.24,-1.7075,14148.66,12273.41,98.1,23.0,11.5,78416.612145,19606.7430275,2023-06-29,156396.0,14.0,6.0,3.0
2023-06-29 15:00:00,2.43,3.565,-1.135,14952.77,11112.17,98.1,20.7,13.8,79738.34195,19334.6344625,2023-06-29,156396.0,15.0,6.0,3.0
2023-06-29 16:00:00,1.1625,2.61,-1.4475,15105.36,10361.32,99.0,24.2,17.3,80074.801705,18931.331185,2023-06-29,156396.0,16.0,6.0,3.0
2023-06-29 17:00:00,0.6925,1.5675,-0.875,15143.98,10180.71,100.0,19.6,24.2,79774.6329275,18860.7093725,2023-06-29,156396.0,17.0,6.0,3.0
2023-06-29 18:00:00,0.2375,0.3075,-0.07,15896.98,9190.31,98.1,19.6,13.8,79196.3616075,19059.933215,2023-06-29,156396.0,18.0,6.0,3.0
2023-06-29 19:00:00,0.5875,0.3625,0.225,16020.47,8497.25,97.0,23.0,15.0,77605.06942,19420.4604075,2023-06-29,156396.0,19.0,6.0,3.0
2023-06-29 20:00:00,7.14,6.97,0.17,16821.59,5319.7,93.9,23.0,13.8,74318.950445,17196.40687,2023-06-29,156396.0,20.0,6.0,3.0
2023-06-29 21:00:00,51.06,49.1075,1.9525,16722.57,731.71,90.0,19.6,9.2,71831.9306,15211.6132375,2023-06-29,156396.0,21.0,6.0,3.0
2023-06-29 22:00:00,40.115,40.115,0.0,15856.52,4.52,87.1,12.7,10.4,68041.0666575,15077.0452925,2023-06-29,156396.0,22.0,6.0,3.0
2023-06-29 23:00:00,26.9625,26.955,0.0075,16229.49,4.56,84.9,13.8,8.1,63685.3964125,14770.9942,2023-06-29,156396.0,23.0,6.0,3.0
2023-06-30 00:00:00,29.285,26.4325,2.8525,16373.09,1.55,82.9,8.1,6.9,59725.0599775,14963.3285425,2023-06-30,156324.0,0.0,6.0,4.0
2023-06-30 01:00:00,28.955,24.5475,4.4075,16515.16,0.15,81.0,10.4,6.9,56699.345715,15595.7947075,2023-06-30,156324.0,1.0,6.0,4.0
2023-06-30 02:00:00,26.59,22.2625,4.3275,16807.06,0.14,80.1,10.4,9.2,54178.349845,16264.307345,2023-06-30,156324.0,2.0,6.0,4.0
2023-06-30 03:00:00,24.4275,20.1925,4.235,17286.65,0.14,79.0,11.5,10.4,52801.2890475,16542.7800375,2023-06-30,156324.0,3.0,6.0,4.0
2023-06-30 04:00:00,22.685,18.5775,4.1075,17445.11,0.15,78.1,13.8,8.1,52123.53886,16217.922625,2023-06-30,156324.0,4.0,6.0,4.0
2023-06-30 05:00:00,22.74,18.705,4.035,17141.2,0.17,77.0,12.7,10.4,52219.785735,15005.8893925,2023-06-30,156324.0,5.0,6.0,4.0
2023-06-30 06:00:00,19.795,19.055,0.74,15819.38,0.17,77.0,16.1,13.8,52767.72181,14052.8982525,2023-06-30,156324.0,6.0,6.0,4.0
2023-06-30 07:00:00,19.6525,19.6525,0.0,14833.69,71.11,77.0,16.1,10.4,53638.4939825,13533.2922275,2023-06-30,156324.0,7.0,6.0,4.0
