HOUR,XW_WIND,XW_GUST,XW_GHI
2023-06-29 00:00:00,18.01,24.09,0.0
2023-06-29 01:00:00,19.04,23.51,0.0
2023-06-29 02:00:00,17.74,26.62,0.0
2023-06-29 03:00:00,16.75,28.97,0.0
2023-06-29 04:00:00,16.78,32.46,0.0
2023-06-29 05:00:00,15.5,26.84,0.0
2023-06-29 06:00:00,13.42,29.26,0.0
2023-06-29 07:00:00,11.18,22.44,2.83
2023-06-29 08:00:00,15.55,26.87,141.23
2023-06-29 09:00:00,19.01,26.84,348.6783
2023-06-29 10:00:00,18.01,26.84,551.3499
2023-06-29 11:00:00,20.13,25.72,725.7799
2023-06-29 12:00:00,20.24,29.19,857.3057
2023-06-29 13:00:00,22.48,25.39,935.9453
2023-06-29 14:00:00,26.84,28.07,955.8888
2023-06-29 15:00:00,23.82,27.96,915.6979
2023-06-29 16:00:00,21.41,27.96,818.2959
2023-06-29 17:00:00,20.13,27.96,670.8911
2023-06-29 18:00:00,20.13,27.96,484.9169
2023-06-29 19:00:00,22.37,26.66,276.8322
2023-06-29 20:00:00,19.17,26.69,78.183
2023-06-29 21:00:00,13.42,22.48,0.0
2023-06-29 22:00:00,9.73,14.7,0.0
2023-06-29 23:00:00,9.15,16.08,0.0
2023-06-30 00:00:00,6.87,13.44,0.0
2023-06-30 01:00:00,7.9,19.8,0.0
2023-06-30 02:00:00,8.75,13.22,0.0
2023-06-30 03:00:00,13.27,32.41,0.0
2023-06-30 04:00:00,14.54,27.96,0.0
2023-06-30 05:00:00,14.54,26.73,0.0
2023-06-30 06:00:00,16.75,26.06,0.0
2023-06-30 07:00:00,19.93,28.88,2.3374
2023-06-30 08:00:00,23.6,33.55,132.4234
2023-06-30 09:00:00,21.41,30.31,328.6685
2023-06-30 10:00:00,22.37,25.84,530.1176
2023-06-30 11:00:00,22.37,26.84,706.1151
2023-06-30 12:00:00,21.25,24.45,816.9445
2023-06-30 13:00:00,19.01,23.47,755.4621
2023-06-30 14:00:00,18.86,23.49,877.7813
2023-06-30 15:00:00,17.9,22.48,764.7904
2023-06-30 16:00:00,20.13,20.13,660.8506
2023-06-30 17:00:00,18.1,20.13,587.1073
2023-06-30 18:00:00,14.54,20.13,365.8583
2023-06-30 19:00:00,15.75,20.13,187.6236
2023-06-30 20:00:00,12.15,21.07,43.0738
2023-06-30 21:00:00,13.96,15.08,0.0
2023-06-30 22:00:00,5.93,8.08,0.0
2023-06-30 23:00:00,8.16,9.13,0.0
2023-07-01 00:00:00,14.5,20.15,0.0
2023-07-01 01:00:00,9.01,21.09,0.0
2023-07-01 02:00:00,12.64,21.07,0.0
2023-07-01 03:00:00,11.36,15.86,0.0
2023-07-01 04:00:00,12.37,21.43,0.0
2023-07-01 05:00:00,14.52,23.82,0.0
2023-07-01 06:00:00,12.48,23.49,0.0
2023-07-01 07:00:00,12.12,27.67,1.907
2023-07-01 08:00:00,9.91,24.58,93.9033
2023-07-01 09:00:00,15.5,17.72,190.4966
2023-07-01 10:00:00,12.3,18.68,393.9306
2023-07-01 11:00:00,10.07,11.18,545.8524
2023-07-01 12:00:00,10.71,16.49,645.398
2023-07-01 13:00:00,13.31,18.95,772.4223
2023-07-01 14:00:00,14.47,18.92,797.7439
2023-07-01 15:00:00,10.25,13.42,825.055
